"FECHA","Calle","Carrera","Descripcion","Mov","Origen","Destino","Periodo","Peaton","Particular","Taxi","Motociclista","Bus","Camion","Minivan","Ciclista","Tractomula"
13022020,"AC68","KR60","otro",93,"Occidente",,"05:00:00",1,13,4,5,1,0,1,2,0
13022020,"AC68","KR60","otro",93,"Occidente",,"05:15:00",0,21,6,6,4,1,3,5,0
13022020,"AC68","KR60","otro",93,"Occidente",,"05:30:00",0,32,5,9,5,3,0,5,0
13022020,"AC68","KR60","otro",93,"Occidente",,"05:45:00",0,44,10,7,1,1,4,8,0
13022020,"AC68","KR60","otro",93,"Occidente",,"06:00:00",2,30,3,21,6,1,1,13,0
13022020,"AC68","KR60","otro",93,"Occidente",,"06:30:00",4,39,8,15,4,0,3,14,0
13022020,"AC68","KR60","otro",93,"Occidente",,"06:45:00",0,28,4,1,1,0,0,1,0
13022020,"AC68","KR60","otro",93,"Occidente",,"07:00:00",3,34,5,3,1,1,0,8,0
13022020,"AC68","KR60","otro",93,"Occidente",,"07:15:00",0,21,5,17,0,0,0,6,0
13022020,"AC68","KR60","otro",93,"Occidente",,"07:30:00",1,42,13,12,3,0,0,5,0
13022020,"AC68","KR60","otro",93,"Occidente",,"07:45:00",1,47,10,30,1,0,1,4,0
13022020,"AC68","KR60","otro",93,"Occidente",,"08:00:00",1,53,11,20,3,2,0,12,0
13022020,"AC68","KR60","otro",93,"Occidente",,"08:15:00",6,44,11,22,3,5,0,9,0
13022020,"AC68","KR60","otro",93,"Occidente",,"08:30:00",3,44,13,18,2,5,1,9,0
13022020,"AC68","KR60","otro",93,"Occidente",,"08:45:00",5,60,12,18,1,2,3,9,0
13022020,"AC68","KR60","otro",93,"Occidente",,"09:00:00",4,60,28,28,2,8,1,6,0
13022020,"AC68","KR60","otro",93,"Occidente",,"09:15:00",6,59,12,20,2,3,0,2,0
13022020,"AC68","KR60","otro",93,"Occidente",,"09:30:00",9,33,13,17,3,1,2,2,0
13022020,"AC68","KR60","otro",93,"Occidente",,"09:45:00",10,44,14,18,1,7,3,9,0
13022020,"AC68","KR60","otro",93,"Occidente",,"15:00:00",7,31,22,11,4,8,1,3,0
13022020,"AC68","KR60","otro",93,"Occidente",,"15:15:00",2,28,21,12,2,1,3,15,0
13022020,"AC68","KR60","otro",93,"Occidente",,"15:30:00",1,27,14,22,2,6,3,11,0
13022020,"AC68","KR60","otro",93,"Occidente",,"15:45:00",2,16,17,16,4,1,2,12,0
13022020,"AC68","KR60","otro",93,"Occidente",,"16:00:00",2,29,21,17,5,3,5,10,0
13022020,"AC68","KR60","otro",93,"Occidente",,"16:15:00",3,26,25,21,12,1,1,5,0
13022020,"AC68","KR60","otro",93,"Occidente",,"16:30:00",2,25,30,13,6,4,3,9,0
13022020,"AC68","KR60","otro",93,"Occidente",,"16:45:00",5,44,18,10,1,5,2,3,0
13022020,"AC68","KR60","otro",93,"Occidente",,"17:00:00",2,33,15,22,6,1,1,5,0
13022020,"AC68","KR60","otro",93,"Occidente",,"17:15:00",2,30,14,28,4,3,1,13,0
13022020,"AC68","KR60","otro",93,"Occidente",,"17:30:00",6,29,16,36,4,1,3,15,0
13022020,"AC68","KR60","otro",93,"Occidente",,"17:45:00",3,38,27,29,1,5,2,9,0
13022020,"AC68","KR60","otro",93,"Occidente",,"18:00:00",3,27,18,26,3,1,1,4,0
13022020,"AC68","KR60","otro",93,"Occidente",,"18:15:00",4,24,17,10,3,1,0,8,0
13022020,"AC68","KR60","otro",93,"Occidente",,"18:30:00",1,29,11,16,1,0,1,3,0
13022020,"AC68","KR60","otro",93,"Occidente",,"18:45:00",0,24,5,5,1,3,3,3,0
13022020,"AC68","KR60","otro",93,"Occidente",,"19:00:00",1,21,3,15,0,2,1,4,0
13022020,"AC68","KR60","otro",93,"Occidente",,"19:15:00",0,23,2,6,0,2,2,3,0
13022020,"AC68","KR60","otro",93,"Occidente",,"19:30:00",1,34,2,7,1,0,1,1,0
13022020,"AC68","KR60","otro",93,"Occidente",,"19:45:00",2,37,7,8,0,0,1,3,0
13022020,"AC68","KR60","giro",3,"Occidente","Sur","05:00:00",3,22,5,11,13,1,2,12,0
13022020,"AC68","KR60","giro",3,"Occidente","Sur","05:15:00",7,36,17,27,15,1,1,8,0
13022020,"AC68","KR60","giro",3,"Occidente","Sur","05:30:00",14,67,15,30,4,2,2,10,1
13022020,"AC68","KR60","giro",3,"Occidente","Sur","05:45:00",3,78,18,48,10,1,2,13,0
13022020,"AC68","KR60","giro",3,"Occidente","Sur","06:00:00",10,59,15,33,8,3,8,26,1
13022020,"AC68","KR60","giro",3,"Occidente","Sur","06:30:00",9,60,16,51,7,5,8,58,0
13022020,"AC68","KR60","giro",3,"Occidente","Sur","06:45:00",5,24,1,1,1,0,0,1,0
13022020,"AC68","KR60","giro",3,"Occidente","Sur","07:00:00",6,54,9,3,4,1,0,3,0
13022020,"AC68","KR60","giro",3,"Occidente","Sur","07:15:00",11,82,6,13,15,0,3,11,0
13022020,"AC68","KR60","giro",3,"Occidente","Sur","07:30:00",28,84,9,6,13,1,0,17,2
13022020,"AC68","KR60","giro",3,"Occidente","Sur","07:45:00",22,64,10,17,13,2,1,28,0
13022020,"AC68","KR60","giro",3,"Occidente","Sur","08:00:00",25,60,9,9,26,5,3,31,0
13022020,"AC68","KR60","giro",3,"Occidente","Sur","08:15:00",9,60,15,9,24,6,1,10,0
13022020,"AC68","KR60","giro",3,"Occidente","Sur","08:30:00",12,70,14,11,23,6,1,28,0
13022020,"AC68","KR60","giro",3,"Occidente","Sur","08:45:00",15,94,24,55,26,7,0,6,0
13022020,"AC68","KR60","giro",3,"Occidente","Sur","09:00:00",28,87,27,73,16,9,0,15,0
13022020,"AC68","KR60","giro",3,"Occidente","Sur","09:15:00",16,76,21,59,13,8,1,11,0
13022020,"AC68","KR60","giro",3,"Occidente","Sur","09:30:00",17,89,20,35,11,5,2,9,0
13022020,"AC68","KR60","giro",3,"Occidente","Sur","09:45:00",6,96,23,53,13,5,2,6,1
13022020,"AC68","KR60","giro",3,"Occidente","Sur","15:00:00",2,45,34,72,11,5,6,11,3
13022020,"AC68","KR60","giro",3,"Occidente","Sur","15:15:00",3,39,27,61,13,12,6,8,2
13022020,"AC68","KR60","giro",3,"Occidente","Sur","15:30:00",7,54,40,49,17,8,1,13,0
13022020,"AC68","KR60","giro",3,"Occidente","Sur","15:45:00",6,46,39,55,16,7,4,11,1
13022020,"AC68","KR60","giro",3,"Occidente","Sur","16:00:00",10,45,32,50,14,3,1,14,1
13022020,"AC68","KR60","giro",3,"Occidente","Sur","16:15:00",1,46,39,32,11,9,11,20,0
13022020,"AC68","KR60","giro",3,"Occidente","Sur","16:30:00",3,44,32,55,19,2,8,13,2
13022020,"AC68","KR60","giro",3,"Occidente","Sur","16:45:00",0,44,32,39,14,7,2,7,0
13022020,"AC68","KR60","giro",3,"Occidente","Sur","17:00:00",0,40,32,44,15,4,3,14,1
13022020,"AC68","KR60","giro",3,"Occidente","Sur","17:15:00",2,50,24,81,12,2,5,17,0
13022020,"AC68","KR60","giro",3,"Occidente","Sur","17:30:00",2,38,29,75,9,6,2,28,1
13022020,"AC68","KR60","giro",3,"Occidente","Sur","17:45:00",5,35,31,83,5,2,2,11,0
13022020,"AC68","KR60","giro",3,"Occidente","Sur","18:00:00",4,36,36,52,18,3,1,17,0
13022020,"AC68","KR60","giro",3,"Occidente","Sur","18:15:00",6,30,36,36,18,1,1,13,0
13022020,"AC68","KR60","giro",3,"Occidente","Sur","18:30:00",9,32,21,55,9,4,3,20,0
13022020,"AC68","KR60","giro",3,"Occidente","Sur","18:45:00",6,67,32,34,9,3,0,10,0
13022020,"AC68","KR60","giro",3,"Occidente","Sur","19:00:00",5,45,34,38,7,1,3,7,0
