FECHA,Calle,Carrera,Movimiento ,Acceso,Salida,Periodo,Peaton,Particular,Taxi,Motociclista,Bus,Camion,Minivan,Ciclista,Tractomula,Scooter,Bicitaxi,
22022020,13,71D,34,Norte,Sur,08:35:00,5,71,17,19,4,15,5,1,0,0,0
22022020,13,71D,34,Norte,Sur,08:50:00,2,63,16,26,5,8,3,0,0,0,0
22022020,13,71D,34,Norte,Sur,09:05:00,0,21,13,16,3,3,5,0,1,0,0
22022020,13,71D,34,Norte,Sur,09:25:00,3,13,1,11,1,5,1,0,3,0,0
22022020,13,71D,34,Norte,Sur,09:40:00,1,13,0,8,2,5,0,0,0,0,0
22022020,13,71D,34,Norte,Sur,09:55:00,0,9,3,11,4,9,5,0,0,0,0
22022020,13,71D,34,Norte,Sur,10:10:00,1,13,1,3,4,7,3,0,2,0,0
22022020,13,71D,34,Norte,Sur,10:25:00,0,19,1,5,2,7,4,0,1,0,0
22022020,13,71D,34,Norte,Sur,10:40:00,0,11,2,2,1,11,5,0,0,0,0
22022020,13,71D,34,Norte,Sur,10:55:00,1,11,1,5,1,5,1,0,0,0,0
22022020,13,71D,34,Norte,Sur,11:15:00,0,8,1,11,3,4,2,0,0,0,0
22022020,13,71D,34,Norte,Sur,11:30:00,1,9,0,4,2,3,4,0,0,0,0
22022020,13,71D,34,Norte,Sur,11:45:00,1,11,3,14,1,4,3,0,0,0,0
22022020,13,71D,34,Norte,Sur,12:00:00,8,8,0,28,4,5,4,0,1,0,0
22022020,13,71D,34,Norte,Sur,12:15:00,6,11,6,25,2,6,2,1,1,0,0
22022020,13,71D,34,Norte,Sur,12:30:00,4,13,4,41,3,8,1,1,0,0,0
22022020,13,71D,34,Norte,Sur,12:45:00,3,28,0,32,2,4,3,0,1,0,0
22022020,13,71D,34,Norte,Sur,13:00:00,9,14,0,22,5,8,7,1,0,0,0
22022020,13,71D,34,Norte,Sur,13:15:00,5,23,3,19,4,10,0,0,2,0,0
22022020,13,71D,34,Norte,Sur,13:30:00,6,19,3,44,4,7,2,2,0,0,0
22022020,13,71D,34,Norte,Sur,13:45:00,4,20,1,26,3,10,0,1,1,0,0
22022020,13,71D,34,Norte,Sur,14:00:00,3,25,1,25,3,5,3,1,1,0,0
22022020,13,71D,34,Norte,Sur,14:20:00,7,18,7,23,4,10,6,2,0,0,0
22022020,13,71D,34,Norte,Sur,14:35:00,2,16,2,28,3,11,3,1,1,0,0
22022020,13,71D,34,Norte,Sur,14:50:00,4,30,1,31,3,2,3,1,0,0,0
22022020,13,71D,34,Norte,Sur,15:05:00,8,14,2,19,1,2,0,0,0,0,0
22022020,13,71D,34,Norte,Sur,15:20:00,12,18,5,16,3,3,1,0,0,0,0
22022020,13,71D,34,Norte,Sur,15:35:00,3,20,2,30,5,9,3,0,1,0,0
22022020,13,71D,34,Norte,Sur,15:50:00,6,11,5,15,5,6,3,0,0,0,0
22022020,13,71D,34,Norte,Sur,16:10:00,2,14,2,24,5,14,5,0,0,0,0
22022020,13,71D,34,Norte,Sur,16:25:00,7,6,2,8,1,2,3,0,0,0,0
22022020,13,71D,34,Norte,Sur,16:40:00,3,5,3,10,2,1,1,0,1,0,0
22022020,13,71D,34,Norte,Sur,16:55:00,0,10,4,5,1,3,0,0,0,0,0
22022020,13,71D,34,Norte,Sur,17:10:00,1,5,0,12,0,3,0,0,0,0,0
22022020,13,71D,34,Norte,Sur,17:25:00,4,11,2,27,1,4,1,1,0,0,0
22022020,13,71D,34,Norte,Sur,17:40:00,2,13,2,28,1,3,3,0,0,0,0
