FECHA,Calle,Carrera,Movimiento ,Acceso,Salida,Periodo,Peaton,Particular,Taxi,Motociclista,Bus,Camion,Minivan,Ciclista,Tractomula,Scooter,Bicitaxi
26022020,93s,1,SN+SE,Sur,Norte,06:00:00,0,6,10,0,6,0,0,0,0,0,0
26022020,93s,1,SN+SE,Sur,Norte,06:05:00,3,10,13,6,2,0,1,0,0,0,0
26022020,93s,1,SN+SE,Sur,Norte,06:10:00,5,16,17,36,11,2,4,1,0,0,0
26022020,93s,1,SN+SE,Sur,Norte,06:15:00,14,14,17,48,6,3,3,5,0,0,0
26022020,93s,1,SN+SE,Sur,Norte,06:20:00,11,11,17,43,9,6,1,1,0,0,0
26022020,93s,1,SN+SE,Sur,Norte,06:25:00,8,14,13,52,7,1,3,2,0,0,0
26022020,93s,1,SN+SE,Sur,Norte,06:30:00,10,15,12,54,8,3,3,1,0,0,0
26022020,93s,1,SN+SE,Sur,Norte,06:35:00,9,9,22,41,6,2,1,0,1,0,0
26022020,93s,1,SN+SE,Sur,Norte,06:40:00,5,17,19,40,7,0,3,1,0,0,0
26022020,93s,1,SN+SE,Sur,Norte,06:45:00,5,10,19,40,6,2,0,1,0,0,0
26022020,93s,1,SN+SE,Sur,Norte,06:50:00,6,15,6,30,7,1,2,5,0,0,0
26022020,93s,1,SN+SE,Sur,Norte,06:55:00,3,21,19,37,6,5,4,3,0,0,0
26022020,93s,1,SN+SE,Sur,Norte,07:00:00,9,14,14,40,6,5,5,3,0,0,0
26022020,93s,1,SN+SE,Sur,Norte,07:05:00,2,14,15,47,7,4,5,1,0,0,0
26022020,93s,1,SN+SE,Sur,Norte,07:10:00,8,10,17,34,3,6,3,1,0,0,0
26022020,93s,1,SN+SE,Sur,Norte,07:15:00,8,13,16,37,6,0,7,2,0,0,0
26022020,93s,1,SN+SE,Sur,Norte,07:20:00,3,12,14,59,10,2,1,1,0,0,0
26022020,93s,1,SN+SE,Sur,Norte,07:25:01,7,8,17,32,7,4,2,2,0,0,0
26022020,93s,1,SN+SE,Sur,Norte,07:30:00,2,4,17,39,4,2,1,1,0,0,0
26022020,93s,1,SN+SE,Sur,Norte,07:35:00,7,9,13,34,7,1,1,2,0,0,0
26022020,93s,1,SN+SE,Sur,Norte,07:40:00,4,10,11,22,8,3,4,1,0,0,0
26022020,93s,1,SN+SE,Sur,Norte,07:45:00,8,8,5,28,5,2,1,2,0,0,0
26022020,93s,1,SN+SE,Sur,Norte,07:50:00,4,9,14,23,6,3,1,0,0,0,0
26022020,93s,1,SN+SE,Sur,Norte,07:55:00,5,7,7,23,8,4,1,1,1,0,0
26022020,93s,1,SN+SE,Sur,Norte,08:00:00,5,13,8,19,8,6,0,2,0,0,0
26022020,93s,1,SN+SE,Sur,Norte,08:05:00,9,16,5,28,10,4,3,2,0,0,0
26022020,93s,1,SN+SE,Sur,Norte,08:10:00,7,12,7,22,6,3,2,1,0,0,0
26022020,93s,1,SN+SE,Sur,Norte,08:15:00,8,9,10,13,6,2,2,1,0,0,0
26022020,93s,1,SN+SE,Sur,Norte,08:20:00,11,12,9,12,5,3,2,1,0,0,0
26022020,93s,1,SN+SE,Sur,Norte,08:25:00,12,14,5,25,6,6,1,0,0,0,0
26022020,93s,1,SN+SE,Sur,Norte,08:30:00,5,13,13,18,7,2,0,1,0,0,0
