"FECHA","Calle","Carrera","Descripcion","Mov","Origen","Destino","Periodo","Peaton","Particular","Taxi","Motociclista","Bus","Camion","Minivan","Ciclista","Tractomula"
13022020,"AC127","AK11","sentido unico",2,"Sur",,"09:55:00",0,49,6,10,0,1,2,0,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"15:00:00",1,39,3,4,0,1,0,1,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"15:05:00",1,22,3,6,0,1,4,1,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"15:10:00",0,32,9,7,0,0,2,1,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"15:15:00",1,31,7,9,0,1,6,3,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"15:20:00",0,26,9,5,0,2,3,2,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"15:25:00",0,35,5,5,1,0,3,1,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"15:30:00",0,26,8,9,0,0,4,1,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"15:35:00",1,32,4,8,4,1,4,4,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"15:40:00",0,36,8,5,1,1,4,1,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"15:45:00",0,30,5,5,0,2,2,4,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"15:50:00",0,35,10,8,0,2,3,2,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"15:55:00",2,22,7,7,1,1,4,1,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"16:00:00",0,38,6,6,1,1,2,1,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"16:05:00",0,38,0,4,1,3,3,1,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"16:10:00",0,38,5,7,2,0,4,5,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"16:15:00",2,34,5,7,3,1,6,0,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"16:20:00",0,46,10,6,1,0,5,2,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"16:25:00",3,41,7,4,3,1,5,5,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"16:30:00",2,54,5,10,2,2,2,5,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"16:35:00",2,40,6,8,1,1,5,3,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"16:40:00",2,54,7,8,0,4,2,2,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"16:45:00",2,33,9,9,1,2,3,6,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"16:50:00",2,55,12,6,1,1,0,8,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"16:55:00",0,42,11,6,0,0,2,4,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"17:00:00",1,49,7,3,1,1,3,4,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"17:05:00",1,49,8,10,0,0,1,4,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"17:10:00",2,49,2,8,0,0,6,3,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"17:15:00",3,54,9,11,0,1,2,1,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"17:20:00",2,42,2,9,0,0,2,6,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"17:25:00",5,49,9,10,0,0,3,1,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"17:30:00",2,51,7,11,1,0,2,8,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"17:35:00",1,44,8,21,0,1,0,8,0
